SKU,Medication,Category,Form,Strength,Size,Total,List $,Your $,Description
HR-B28,BIEST (20:80),Hormone Replacement Therapy,Cream,0.2mg/mL,30mL Tube,,$41.50,$30.00,Bioidentical estrogen blend (20% E2 / 80% E3) for menopause HRT.
HR-B28-02,BIEST (20:80),Hormone Replacement Therapy,Cream,0.4mg/mL,30mL Tube,,$41.50,$30.00,Bioidentical estrogen blend (20% E2 / 80% E3) for menopause HRT.
HR-B28-03,BIEST (20:80),Hormone Replacement Therapy,Cream,0.625mg/mL,30mL Tube,,$41.50,$30.00,Bioidentical estrogen blend (20% E2 / 80% E3) for menopause HRT.
HR-B28-04,BIEST (20:80),Hormone Replacement Therapy,Cream,1mg/mL,30mL Tube,,$41.50,$30.00,Bioidentical estrogen blend (20% E2 / 80% E3) for menopause HRT.
HR-B28-05,BIEST (20:80),Hormone Replacement Therapy,Cream,1.25mg/mL,30mL Tube,,$41.50,$30.00,Bioidentical estrogen blend (20% E2 / 80% E3) for menopause HRT.
HR-B28-06,BIEST (20:80),Hormone Replacement Therapy,Cream,2mg/mL,30mL Tube,,$41.50,$30.00,Bioidentical estrogen blend (20% E2 / 80% E3) for menopause HRT.
HR-B28-07,BIEST (20:80),Hormone Replacement Therapy,Cream,2.5mg/mL,30mL Tube,,$41.50,$30.00,Bioidentical estrogen blend (20% E2 / 80% E3) for menopause HRT.
HR-B2V,BIEST (20:80) (VERSABASE),Hormone Replacement Therapy,Cream,3mg/mL,30mL Tube,,$41.50,$30.00,20:80 BIEST in Versabase carrier for superior transdermal absorption.
HR-B55,BIEST (50:50),Hormone Replacement Therapy,Cream,0.75mg/mL,30mL Tube,,$41.50,$30.00,Equal-ratio bioidentical estrogen blend for balanced menopause replacement.
HR-B55-02,BIEST (50:50),Hormone Replacement Therapy,Cream,1mg/mL,30mL Tube,,$41.50,$30.00,Equal-ratio bioidentical estrogen blend for balanced menopause replacement.
HR-B55-03,BIEST (50:50),Hormone Replacement Therapy,Cream,1.25mg/mL,30mL Tube,,$41.50,$30.00,Equal-ratio bioidentical estrogen blend for balanced menopause replacement.
HR-B55-04,BIEST (50:50),Hormone Replacement Therapy,Cream,2mg/mL,30mL Tube,,$41.50,$30.00,Equal-ratio bioidentical estrogen blend for balanced menopause replacement.
HR-B55-05,BIEST (50:50),Hormone Replacement Therapy,Cream,2.75mg/mL,30mL Tube,,$41.50,$30.00,Equal-ratio bioidentical estrogen blend for balanced menopause replacement.
HR-B55-06,BIEST (50:50),Hormone Replacement Therapy,Cream,3mg/mL,30mL Tube,,$41.50,$30.00,Equal-ratio bioidentical estrogen blend for balanced menopause replacement.
HR-EST,Estradiol,Hormone Replacement Therapy,Cream,1mg/mL,30mL Tube,,,$41.50,"Bioidentical estradiol in cream, tablet, or vaginal forms for menopause HRT."
HR-EST-02,Estradiol,Hormone Replacement Therapy,Cream,1.5mg/mL,30mL Tube,,,$41.50,"Bioidentical estradiol in cream, tablet, or vaginal forms for menopause HRT."
HR-EST-03,Estradiol,Hormone Replacement Therapy,Cream,2mg/mL,30mL Tube,,,$41.50,"Bioidentical estradiol in cream, tablet, or vaginal forms for menopause HRT."
HR-EST-04,Estradiol,Hormone Replacement Therapy,Cream,2.5mg/mL,30mL Tube,,,$41.50,"Bioidentical estradiol in cream, tablet, or vaginal forms for menopause HRT."
HR-EST-05,Estradiol,Hormone Replacement Therapy,Cream,3mg/mL,30mL Tube,,,$41.50,"Bioidentical estradiol in cream, tablet, or vaginal forms for menopause HRT."
HR-EP,ESTRADIOL/PROGESTERONE,Hormone Replacement Therapy,Cream,1mg/100mg/mL,30mL Tube,,,$41.50,Combined bioidentical E2 and progesterone cream for balanced female HRT.
HR-EP-02,ESTRADIOL/PROGESTERONE,Hormone Replacement Therapy,Cream,2mg/200mg/mL,30mL Tube,,,$41.50,Combined bioidentical E2 and progesterone cream for balanced female HRT.
HR-PRO,Progesterone,Hormone Replacement Therapy,Cream,50mg/mL,30mL Tube,,,$30.00,Topical bioidentical progesterone cream for transdermal HRT delivery.
HR-PRO-02,Progesterone,Hormone Replacement Therapy,Cream,100mg/mL,30mL Tube,,,$30.00,Topical bioidentical progesterone cream for transdermal HRT delivery.
HR-PRO-03,Progesterone,Hormone Replacement Therapy,Cream,200mg/mL,30mL Tube,,,$30.00,Topical bioidentical progesterone cream for transdermal HRT delivery.
HR-TCC,Testosterone Cream,Hormone Replacement Therapy,Cream,10mg/ml,30mL Tube,,,$66.40,Transdermal testosterone cream for consistent androgen levels in HRT.
HR-TCC-02,Testosterone Cream,Hormone Replacement Therapy,Cream,20mg/ml,30mL Tube,,,$68.06,Transdermal testosterone cream for consistent androgen levels in HRT.
HR-TCC-03,Testosterone Cream,Hormone Replacement Therapy,Cream,30mg/ml,30mL Tube,,,$69.72,Transdermal testosterone cream for consistent androgen levels in HRT.
HR-TCC-04,Testosterone Cream,Hormone Replacement Therapy,Cream,40mg/ml,30mL Tube,,,$71.38,Transdermal testosterone cream for consistent androgen levels in HRT.
HR-TCC-05,Testosterone Cream,Hormone Replacement Therapy,Cream,50mg/ml,30mL Tube,,,$73.04,Transdermal testosterone cream for consistent androgen levels in HRT.
HR-TCC-06,Testosterone Cream,Hormone Replacement Therapy,Cream,120mg/ml,30mL Tube,,,$74.70,Transdermal testosterone cream for consistent androgen levels in HRT.
HR-TCC-07,Testosterone Cream,Hormone Replacement Therapy,Cream,200mg/ml,30mL Tube,,,$76.36,Transdermal testosterone cream for consistent androgen levels in HRT.
SX-CLX,Climax Cream,Sexual Health,Cream,9/0.075/7.5/1.5/4.5mg/0.21mL,30mL,,$80.00,$80.00,"Topical arousal cream combining arginine, ergoloid, pentoxifylline, sildenafil, and theophylline."
SK-TRT,Tretinoin,Skin & Hair Care,Cream,0.015%,30mL,,$40.00,,"Topical retinoid increasing cell turnover to treat acne, photoaging, and hyperpigmentation."
SK-TRT-02,Tretinoin,Skin & Hair Care,Cream,0.02%,30mL,,$40.00,,"Topical retinoid increasing cell turnover to treat acne, photoaging, and hyperpigmentation."
DM-BLT1,Benzocaine/Lidocaine/Tetracaine (20%/10%/10%),Dermatology,Cream,20%/10%/10%,30g Jar,,$45.00,,Triple topical anesthetic (20/10/10%) for procedural pain management.
