SKU,Medication,Category,Form,Strength,Size,Total,List $,Your $,Description
HR-HCC,HCG (Chorionic) - Commercial,Hormone Replacement Therapy,Injectable,"10,000IU",10mL,,,$210.00,Commercial-grade hCG supporting testicular function and male fertility.
HR-HGH,HGH,Hormone Replacement Therapy,Injectable,10iu,5mL,,,$550.00,"Injectable human growth hormone for GH deficiency, anti-aging, and body composition."
HR-NAN,Nandrolone DECANOATE,Hormone Replacement Therapy,Injectable,200mg/mL,5mL,1000mg,$75.00,,"Long-acting anabolic steroid for muscle wasting, osteoporosis, and anemia."
HR-TCP,Testosterone Cypionate,Hormone Replacement Therapy,Injectable,25mg/ml GSO,5mL,125mg,$17.50,$17.50,Long-acting injectable testosterone ester for hypogonadism and TRT.
HR-TCP-02,Testosterone Cypionate,Hormone Replacement Therapy,Injectable,25mg/ml MCT,5mL,125mg,$17.50,$17.50,Long-acting injectable testosterone ester for hypogonadism and TRT.
HR-TCP-03,Testosterone Cypionate,Hormone Replacement Therapy,Injectable,200mg/ml GSO,5mL,1000mg,$17.50,$17.50,Long-acting injectable testosterone ester for hypogonadism and TRT.
HR-TCP-04,Testosterone Cypionate,Hormone Replacement Therapy,Injectable,200mg/ml MCT,5mL,1000mg,$17.50,$17.50,Long-acting injectable testosterone ester for hypogonadism and TRT.
HR-TCP-05,Testosterone Cypionate,Hormone Replacement Therapy,Injectable,200mg/ml MCT,10mL,2000mg,$35.00,$35.00,Long-acting injectable testosterone ester for hypogonadism and TRT.
HR-TPC,Testosterone Cypionate - Commercial,Hormone Replacement Therapy,Injectable,200mg/ml,10mL,3000mg,$70.00,$70.00,Commercial-grade testosterone cypionate for TRT.
HR-TEN,Testosterone Enanthate,Hormone Replacement Therapy,Injectable,200mg/ml GSO,5mL,1000mg,$17.50,$17.50,Injectable testosterone ester with 1–2 week half-life for TRT dosing.
HR-TEN-02,Testosterone Enanthate,Hormone Replacement Therapy,Injectable,200mg/ml MCT,10mL,2000mg,$35.00,$35.00,Injectable testosterone ester with 1–2 week half-life for TRT dosing.
HR-TCA,Testosterone Cypionate/Anastrozole,Hormone Replacement Therapy,Injectable,200mg/1mg,10mL,,$46.48,,Combined TRT injectable with built-in aromatase inhibitor.
SX-TX1,Trimix 1 503B,Sexual Health,Injectable,Papaverine 30mg/Phentolamine 1mg/PGE1 10mcg,5mL,,$75.00,$75.00,Low-dose papaverine/phentolamine/PGE1 injectable for erectile dysfunction.
SX-TX2,Trimix 2 503B,Sexual Health,Injectable,Papaverine 30mg/Phentolamine 2mg/PGE1 20mcg,5mL,,$100.00,$100.00,Higher-dose intracavernosal triple combination for moderate-to-severe ED.
WL-GSH,Glutathione,Wellness,Injectable,200mg/mL,10mL,2000mg,$15.00,$24.00,Master antioxidant detoxifying cells and supporting immune function.
WL-GSH-02,Glutathione,Wellness,Injectable,600mg/mL,10mL,6000mg,$30.00,$36.00,Master antioxidant detoxifying cells and supporting immune function.
WL-B12,Cyanocobalamin (B12) - Commercial,Wellness,Injectable,1000mcg/1mL,30mL,30mg,$48.00,$79.68,"Commercial injectable B12 for energy, nerve health, and metabolism."
WL-MCB,Methylcobalamin,Wellness,Injectable,1mg/mL,10mL,10mg,$100.00,$58.10,Active methyl-B12 injection for superior neurological and energy support.
WL-CB5,Cyanocobalamin B12 503B,Wellness,Injectable,1mg/ml,10mL,10mg,$20.00,$20.00,503B-grade B12 injectable for clinic-administered nutritional support.
WL-NA5,NAD Ampule 503B,Wellness,Injectable,100mg/1mL,1mL x30,3000mg,$60.00,$60.00,Single-dose 503B NAD+ ampule for clinic IV or IM administration.
WL-ND5,NAD+ 503B,Wellness,Injectable,100mg/mL,10mL,1000mg,$90.00,$90.00,503B-compounded NAD+ injectable for IV wellness and cellular energy protocols.
WL-ND5-02,NAD+ 503B,Wellness,Injectable,200mg/mL,10mL,500mg,$90.00,$90.00,503B-compounded NAD+ injectable for IV wellness and cellular energy protocols.
WL-ND5-03,NAD+ 503B,Wellness,Injectable,200mg/mL,6mL,1200mg,$68.00,$68.00,503B-compounded NAD+ injectable for IV wellness and cellular energy protocols.
PS-MRS,AOD-9604/MOTs-C - Metabolic Reset Stack,Peptide Stacks,Injectable,1.2mg/2mg/mL,5mL,,$135.00,,Pre-formulated metabolic stack combining lipolytic and mitochondrial activating peptides.
PS-MRS-02,AOD-9604/MOTs-C - Metabolic Reset Stack,Peptide Stacks,Injectable,2.4mg/4mg/mL,5mL,,$160.00,,Pre-formulated metabolic stack combining lipolytic and mitochondrial activating peptides.
PS-VFR,AOD-9604/MOTs-C/Tesamorelin - Visceral Fat Reduction Stack,Peptide Stacks,Injectable,1.2mg/2mg/3mg/mL,5mL,,$170.00,,"Triple-peptide visceral fat reduction stack targeting adipose tissue, metabolism, and GH."
PS-VFR-02,AOD-9604/MOTs-C/Tesamorelin - Visceral Fat Reduction Stack,Peptide Stacks,Injectable,2.4mg/4mg/6mg/ml,5mL,,$190.00,,"Triple-peptide visceral fat reduction stack targeting adipose tissue, metabolism, and GH."
PS-WLV,BPC-157/TB-500 - Wolverine Stack,Peptide Stacks,Injectable,3mg/3mg/mL,5mL,,$135.00,,Classic dual-peptide recovery stack for accelerated musculoskeletal repair.
PS-WIC,BPC-157/TB500/KPV - Wolverine Inflammation Control Stack,Peptide Stacks,Injectable,3mg/3mg/3mg/mL,5mL,,$140.00,,Enhanced repair stack with anti-inflammatory KPV for gut and systemic healing.
PS-AWV,BPC-157/TB-500/KPV/GHK-Cu - Advanced Wolverine Stack,Peptide Stacks,Injectable,3mg/3mg/3mg/10mg/mL,5mL,,$145.00,,Comprehensive regenerative stack with copper peptide for advanced tissue repair.
PS-GOS,CJC-1295/Ipamorelin - Growth Hormone Optimization Stack,Peptide Stacks,Injectable,1.2mg/2mg/mL,5mL,,$135.00,,Gold-standard GH stack combining GHRH analogue and secretagogue for pulsatile release.
PS-GOS-02,CJC-1295/Ipamorelin - Growth Hormone Optimization Stack,Peptide Stacks,Injectable,2mg/3mg/mL,5mL,,$110.00,,Gold-standard GH stack combining GHRH analogue and secretagogue for pulsatile release.
PS-NRS,DSIP/BPC-157/CJC-1295 -Night Repair Stack,Peptide Stacks,Injectable,1mg/2mg/2mg/mL,5mL,,$145.00,,"Overnight recovery stack combining sleep induction, tissue repair, and GH optimization."
