SKU,Medication,Category,Form,Strength,Size,Total,List $,Your $,Description
HR-B28-08,BIEST (20:80),Hormone Replacement Therapy,Rapid Dissolve Tablet,0.05mg,each,,$1.99,,Bioidentical estrogen blend (20% E2 / 80% E3) for menopause HRT.
HR-B28-09,BIEST (20:80),Hormone Replacement Therapy,Rapid Dissolve Tablet,0.1mg,each,,$1.99,,Bioidentical estrogen blend (20% E2 / 80% E3) for menopause HRT.
HR-B55-07,BIEST (50:50),Hormone Replacement Therapy,Rapid Dissolve Tablet,0.05mg,each,,$1.99,,Equal-ratio bioidentical estrogen blend for balanced menopause replacement.
HR-B55-08,BIEST (50:50),Hormone Replacement Therapy,Rapid Dissolve Tablet,0.1mg,each,,$1.99,,Equal-ratio bioidentical estrogen blend for balanced menopause replacement.
HR-B55-09,BIEST (50:50),Hormone Replacement Therapy,Rapid Dissolve Tablet,0.2mg,each,,$1.99,,Equal-ratio bioidentical estrogen blend for balanced menopause replacement.
HR-B55-10,BIEST (50:50),Hormone Replacement Therapy,Rapid Dissolve Tablet,0.4mg,each,,$1.99,,Equal-ratio bioidentical estrogen blend for balanced menopause replacement.
HR-B55-11,BIEST (50:50),Hormone Replacement Therapy,Rapid Dissolve Tablet,0.5mg,each,,$1.99,,Equal-ratio bioidentical estrogen blend for balanced menopause replacement.
HR-B55-12,BIEST (50:50),Hormone Replacement Therapy,Rapid Dissolve Tablet,1mg,each,,$1.99,,Equal-ratio bioidentical estrogen blend for balanced menopause replacement.
HR-OXT,Oxytocin,Hormone Replacement Therapy,Rapid Dissolve Tablet,50IU,each,,,$3.74,"Rapid-dissolve oxytocin tablet for bonding, libido, and stress regulation."
HR-OXT-02,Oxytocin,Hormone Replacement Therapy,Rapid Dissolve Tablet,250IU,each,,,$1.66,"Rapid-dissolve oxytocin tablet for bonding, libido, and stress regulation."
AN-KET,Ketamine,Anesthetic,Rapid Dissolve Tablet,50mg,each,,$2.50,$2.50,Rapid-dissolve ketamine for treatment-resistant depression and pain management.
AN-KET-02,Ketamine,Anesthetic,Rapid Dissolve Tablet,100mg,each,,$2.50,$2.50,Rapid-dissolve ketamine for treatment-resistant depression and pain management.
AN-KET-03,Ketamine,Anesthetic,Rapid Dissolve Tablet,150mg,each,,$2.50,$2.50,Rapid-dissolve ketamine for treatment-resistant depression and pain management.
AN-KET-04,Ketamine,Anesthetic,Rapid Dissolve Tablet,200mg,each,,$2.50,$2.50,Rapid-dissolve ketamine for treatment-resistant depression and pain management.
