SKU,Medication,Category,Form,Strength,Size,Total,List $,Your $,Description
HR-CAB,Cabergoline,Hormone Replacement Therapy,Tablet,0.5mg,8 tab bottle,,$300.00,$300.00,"Dopamine agonist lowering prolactin; used in HRT, fertility, and performance protocols."
HR-EST-06,Estradiol,Hormone Replacement Therapy,Tablet,0.5mg,each,,,$1.66,"Bioidentical estradiol in cream, tablet, or vaginal forms for menopause HRT."
HR-EST-07,Estradiol,Hormone Replacement Therapy,Tablet,1mg,each,,,$1.66,"Bioidentical estradiol in cream, tablet, or vaginal forms for menopause HRT."
HR-EST-08,Estradiol,Hormone Replacement Therapy,Tablet,2mg,each,,,$1.66,"Bioidentical estradiol in cream, tablet, or vaginal forms for menopause HRT."
HR-EXM,Exemestane,Hormone Replacement Therapy,Tablet,25mg,each,,,$3.65,Steroidal aromatase inactivator for breast cancer prevention and TRT estrogen management.
HR-T4,T4 - thyroxine (levothyroxine),Hormone Replacement Therapy,Tablet,50mcg,each,,,$2.49,Synthetic T4 for hypothyroidism and thyroid replacement.
HR-TAM,Tamoxifen,Hormone Replacement Therapy,Tablet,10mg,each,,,$3.32,SERM blocking estrogen receptors; used in cancer prevention and post-cycle therapy.
SK-FIN,Finasteride,Skin & Hair Care,Tablet,0.50mg,each,,$1.50,$1.50,5α-reductase inhibitor reducing DHT to treat androgenetic alopecia.
SK-FIN-02,Finasteride,Skin & Hair Care,Tablet,1mg,each,,$3.00,$3.00,5α-reductase inhibitor reducing DHT to treat androgenetic alopecia.
SK-MNX,Minoxidlil,Skin & Hair Care,Tablet,2.5mg,each,,$0.60,$0.60,Topical vasodilator extending hair follicle anagen phase to reduce shedding.
AD-NLT-07,Naltrexone,Addiction,Tablet,1.5mg,each,,$1.50,,Low-dose naltrexone (LDN) for addiction support and immune modulation.
WL-ODT,Ondansetron (30-Day),Wellness,Tablet,4mg,30 ct,,$24.90,,30-day ondansetron supply for chronic nausea management.
WL-TOP,Topiramate,Wellness,Tablet,25mg,each,,$1.00,$1.00,Anticonvulsant used off-label for weight loss and migraine prevention.
WL-TOP-02,Topiramate,Wellness,Tablet,50mg,each,,$1.00,$1.00,Anticonvulsant used off-label for weight loss and migraine prevention.
WL-MET,Metformin,Wellness,Tablet,500mg,each,,$0.80,$0.80,"Biguanide insulin sensitizer for T2D, metabolic syndrome, and longevity protocols."
WL-MET-02,Metformin,Wellness,Tablet,1000mg,each,,$1.75,$1.75,"Biguanide insulin sensitizer for T2D, metabolic syndrome, and longevity protocols."
WL-PHT,Phentermine,Wellness,Tablet,37.5mg,each,,$0.90,$0.90,Sympathomimetic appetite suppressant for short-term obesity management.
HR-OXA-08,Oxandrolone,Hormone Replacement Therapy,Tablets,50mg,each,50mg,$3.00,$2.40,Anabolic steroid used in HRT and muscle-wasting conditions at therapeutic doses.
