Medication,Strength,Total
BIEST (20:80),0.2mg/mL,
BIEST (20:80),0.4mg/mL,
BIEST (20:80),0.625mg/mL,
BIEST (20:80),1mg/mL,
BIEST (20:80),1.25mg/mL,
BIEST (20:80),2mg/mL,
BIEST (20:80),2.5mg/mL,
BIEST (20:80) (VERSABASE),3mg/mL,
BIEST (50:50),0.75mg/mL,
BIEST (50:50),1mg/mL,
BIEST (50:50),1.25mg/mL,
BIEST (50:50),2mg/mL,
BIEST (50:50),2.75mg/mL,
BIEST (50:50),3mg/mL,
ESTRADIOL/PROGESTERONE,1mg/100mg/mL,
ESTRADIOL/PROGESTERONE,2mg/200mg/mL,
Estradiol,1mg/mL,
Estradiol,1.5mg/mL,
Estradiol,2mg/mL,
Estradiol,2.5mg/mL,
Estradiol,3mg/mL,
Progesterone,50mg/mL,
Progesterone,100mg/mL,
Progesterone,200mg/mL,
Testosterone Cream,10mg/ml,
Testosterone Cream,20mg/ml,
Testosterone Cream,30mg/ml,
Testosterone Cream,40mg/ml,
Testosterone Cream,50mg/ml,
Testosterone Cream,120mg/ml,
Testosterone Cream,200mg/ml,
Climax Cream,9/0.075/7.5/1.5/4.5mg/0.21mL,
