Medication,Strength,Total
Cerebrolysin,200mg/mL,1000mg
FOXO4,2mg/mL,10mg
Glutathione,200mg/mL,2000mg
Glutathione,600mg/mL,6000mg
Melatonin II,10mg/mL,50mg
NAD+,100mg/mL,1000mg
NAD+,200mg/mL,2000mg
Retatrutide,8mg/mL,8mg
Retatrutide,8mg/mL,16mg
Retatrutide,8mg/mL,24mg
Retatrutide,8mg/mL,32mg
Retatrutide,16mg/mL,48mg
Retatrutide,16mg/mL,64mg
Retatrutide + Tirzepatide,16mg/5mg/mL,16mg/5mg
Retatrutide + Tirzepatide,16mg/5mg/mL,32mg/10mg
Semaglutide/B-12,0.5mg/0.5mg/mL,1mg/1mg
Semaglutide/B-12,1mg/0.5mg/mL,2mg/1mg
Semaglutide/B-12,2mg/0.5mg/mL,4mg/1mg
Semaglutide/B-12,3.5mg/0.5mg/mL,7.5mg/1mg
Semaglutide/B-12,5mg/0.5mg/mL,10mg/1mg
Semaglutide/Glycine,0.5mg/5mg/mL,1mg/10mg
Semaglutide/Glycine,1mg/5mg/mL,2mg/10mg
Semaglutide/Glycine,2mg/5mg/mL,4mg/10mg
Semaglutide/Glycine,3.5mg/5mg/mL,7.5mg/10mg
Semaglutide/Glycine,5mg/5mg/mL,10mg/10mg
Tirzepatide/B-12,5mg/0.5mg/mL,10mg/1mg
Tirzepatide/B-12,10mg/0.5mg/mL,20mg/1mg
Tirzepatide/B-12,15mg/0.5mg/mL,30mg/1mg
Tirzepatide/B-12,20mg/0.5mg/mL,40mg/1mg
Tirzepatide/B-12,25mg/0.5mg/mL,50mg/1mg
Tirzepatide/B-12,30mg/0.5mg/mL,60mg/1mg
Tirzepatide/Glycine,5mg/5mg/mL,10mg/10mg
Tirzepatide/Glycine,10mg/5mg/mL,20mg/10mg
Tirzepatide/Glycine,15mg/5mg/mL,30mg/10mg
Tirzepatide/Glycine,20mg/5mg/mL,40mg/10mg
Tirzepatide/Glycine,25mg/5mg/mL,50mg/10mg
Tirzepatide/Glycine,30mg/5mg/mL,60mg/10mg
PE-22-28/Pinealon/Selank,2mg/2mg/2mg/mL,10/10/10mg
Semax/Selank,1mg/1mg/mL,5mg/5mg
AOD-9604/MOTs-C/Tesamorelin,1.2mg/2mg/3mg/mL,6mg/10mg/15mg
AOD-9604/MOTs-C/Tesamorelin,2.4mg/4mg/6mg/mL,12mg/20mg/30mg
AOD-9604,1.2mg/mL,6mg
AOD-9604,2.4mg/mL,12mg
AOD-9604/MOTs-C,1.2mg/2mg/mL,6mg/10mg
AOD-9604/MOTs-C,2.4mg/4mg/mL,12mg/20mg
Cagrilintide,4mg/mL,20mg
LIPO-B,25mg/50mg/50mg/1mg/mL,250/500/500/10mg
Lipo-C,10mg/mL,300mg
MOTs-C,10mg/mL,50mg
MOTs-C,2mg/mL,10mg
SLU-PP-32,5mg/mL,25mg
CJC-1295/Ipamorelin,1.2mg/2mg/mL,6mg/10mg
CJC-1295/Ipamorelin,2mg/3mg/mL,10mg/15mg
GHRP-2,10mg/mL,50mg
GHRP-6,10mg/mL,50mg
IGF-LR3,200mcg/mL,100mcg
Sermorelin,3mg/mL,15mg
Tesamorelin/Ipamorelin,5mg/1.5mg/mL,25mg/7.5mg
Tesamorelin,2mg/mL,10mg
Tesamorelin,5mg/mL,25mg
Follistatin,1mg/mL,5mg
Gonadorelin 503B,1mg/mL,6mg
Gonadorelin 503B,2mg/mL,10mg
Gonadorelin,1mg/mL,5mg
HCG (Chorionic) - Commercial,"10,000IU",
HCG,12000IU,12000 iu
HGH,10iu,
Kisspeptin,1mg/mL,5mg
Nandrolone DECANOATE,200mg/mL,1000mg
Testosterone Cypionate/Anastrozole,200mg/1mg,
Testosterone Cypionate,25mg/ml GSO,125mg
Testosterone Cypionate,25mg/ml MCT,125mg
Testosterone Cypionate,200mg/ml GSO,1000mg
Testosterone Cypionate,200mg/ml MCT,1000mg
Testosterone Cypionate,200mg/ml MCT,2000mg
Testosterone Enanthate,200mg/ml GSO,1000mg
Testosterone Enanthate,200mg/ml MCT,2000mg
Testosterone Cypionate - Commercial,200mg/ml,3000mg
LL-37,2mg/mL,10mg
LL-37/Thymosin,2mg/5mg/mL,10mg/25mg
Thymosin Alpha-1 (TA1),4mg/mL,20mg
Cardiogen,3mg/mL,15mg
Cartalax,3mg/mL,15mg
Epithalon,2mg/mL,100mg
SS-31,60mg/mL,300mg
BPC-157/TB-500/KPV/GHK-Cu - Advanced Wolverine Stack,3mg/3mg/3mg/10mg/mL,
Semax/Selank - Cognitive Enhancement Stack,1mg/1mg/mL,
CJC-1295/Ipamorelin - Growth Hormone Optimization Stack,1.2mg/2mg/mL,
CJC-1295/Ipamorelin - Growth Hormone Optimization Stack,2mg/3mg/mL,
LL-37/Thymosin Alpha-1 - Immune Defense Stack,2mg/5mg/mL,
AOD-9604/MOTs-C - Metabolic Reset Stack,1.2mg/2mg/mL,
AOD-9604/MOTs-C - Metabolic Reset Stack,2.4mg/4mg/mL,
PE-22-28/Pinealon/Selank - Neurogenesis Stack,2mg/2mg/2mg/mL,
DSIP/BPC-157/CJC-1295 -Night Repair Stack,1mg/2mg/2mg/mL,
AOD-9604/MOTs-C/Tesamorelin - Visceral Fat Reduction Stack,1.2mg/2mg/3mg/mL,
AOD-9604/MOTs-C/Tesamorelin - Visceral Fat Reduction Stack,2.4mg/4mg/6mg/ml,
BPC-157/TB500/KPV - Wolverine Inflammation Control Stack,3mg/3mg/3mg/mL,
BPC-157/TB-500 - Wolverine Stack,3mg/3mg/mL,
GHK-Cu/Epithalon - Longevity & Regeneration Stack,10mg/2mg/mL,
Melanotan II (MT-2),10mg/mL,
PT-141,2mg/mL,10mg
Trimix 1 503B,Papaverine 30mg/Phentolamine 1mg/PGE1 10mcg,
Trimix 2 503B,Papaverine 30mg/Phentolamine 2mg/PGE1 20mcg,
Epitalon/GHK-Cu,2mg/10mg/mL,10mg/50mg
GHK-Cu,10mg/mL,50mg
DSIP/BPC/CJC,1mg/2mg/2mg/mL,5/10/10mg
DSIP,1mg/mL,5mg
ARA-290,20mg/mL,100mg
BPC-157,3mg/mL,15mg
BPC-157,4mg/mL,20mg
BPC-157/TB500,3mg/3mg/mL,15mg/15mg
BPC-157/TB500/KPV,3mg/3mg/3mg/mL,15mg/15mg/15mg
BPC-157/TB500/KPV/GHK-U,3mg/3mg/3mg/10mg/mL,15/15/15/50mg
TB-500,4mg/mL,20mg
TB-500,3mg/mL,15mg
Cyanocobalamin (B12) - Commercial,1000mcg/1mL,30mg
Cyanocobalamin B12 503B,1mg/ml,10mg
Glutathione,200mg/mL,2000mg
Glutathione,600mg/mL,6000mg
Methylcobalamin,1mg/mL,10mg
NAD Ampule 503B,100mg/1mL,3000mg
NAD+ 503B,100mg/mL,1000mg
NAD+ 503B,200mg/mL,500mg
NAD+ 503B,200mg/mL,1200mg
