Medication,Strength,Total
NAD+ Nasal Spray,300mg/mL,3000mg
Synapsin : Rg3/NR,RG3 2mg/B12 2mg/NR 50mg/mL,20mg/20mg/500mg
Pinealon Nasal Spray,4mg/mL,40mg
Selank Nasal Spray,7.5mg/mL,75mg
Semax Nasal Spray,7.5mg/mL,75mg
Semax/Selank Nasal Spray,10mg/10mg/mL,100mg/100mg
Synapsin (Rg3/B12 Methyl/NAD),2mg/2mg/50mg/mL,
Bremelanotide (PT-141) Nasal Spray,5mg/mL,50mg
Oxytocin Nasal Spray,100IU/mL,1000IU
Oxytocin Nasal Spray,50IU/mL,500IU
BPC-157 Nasal Spray,10mg/mL,100mg
BPC-157 & TB-500 Nasal Spray,10mg/10mg/mL,100mg/100mg
