Medication,Strength,Total
Benzocaine/Lidocaine/Tetracaine (20%/10%/10%),20%/10%/10%,
Benzocaine/Lidocaine/Tetracaine (20%/6%/4%),20%/6%/4%,
Benzocaine/Lidocaine/Tetracaine (20%/8%/6%),20%/8%/6%,
CantharidinPlus,Canthar. 1%/Sal. Acid 30%/Podoph. 5%,
Hydroquinone 10%,10%,
Hydroquinone 4%/Ascorbic Acid 2%,4%/2%,
Hydroquinone 4%/Retinoic Acid 0.05%/Hydrocortisone 2%,4%/0.05%/2%,
Hydroquinone 5%/Retinoic Acid 0.1%/Hydrocortisone 2.5%/Ascorbic Acid 2%,5%/0.1%/2.5%/2%,
Hydroquinone 5%/Retinoic Acid 0.05%/Hydrocortisone 2.5%/Ascorbic Acid 2%,5%/0.05%/2.5%/2%,
Hydroquinone 5%/Retinoic Acid 0.1%/Dexamethasone 0.1%,5%/0.1%/0.1%,
Hydroquinone 6%,6%,
Hydroquinone 6%/Ascorbic Acid 2%/Hydrocortisone 2.5%,6%/2%/2.5%,
Hydroquinone 6%/Retinoic Acid 0.5%/Kojic Acid 4%,6%/0.5%/4%,
Hydroquinone 6%/Retinoic Acid 0.25%/Kojic Acid 4%/Hydrocortisone 0.05%,6%/0.25%/4%/0.05%,
Hydroquinone 8%,8%,
Hydroquinone 8%/Retinoic Acid 0.05%/Hydrocortisone 2.5%,8%/0.05%/2.5%,
Hydroquinone 8%/Retinoic Acid 0.1%/Hydrocortisone 0.1%,8%/0.1%/0.1%,
Hydroquinone 8%/Retinoic Acid 0.1%/Kojic Acid 4%/Azelaic Acid 15%/Hydrocortisone 1%,8%/0.1%/4%/15%/1%,
Hydroquinone 8%/Retinoic Acid 0.025%/Kojic Acid 4%/Hydrocortisone 0.05%,8%/0.025%/4%/0.05%,
Kojic Acid 5%/Ascorbic Acid 2%/Hyaluronic 0.5%,5%/2%/0.5%,
Lidocaine/Prilocaine/Phenylephrine (23%/10%/0.5%),23%/10%/0.5%,
Lidocaine/Tetracaine (23%/7%),23%/7%,
Lidocaine/Tetracaine/Prilocaine (23%/7%/2%),23%/7%/2%,
Retinoic Acid 0.05%/Hyaluronic Acid 0.1%/Ascorbic Acid 2%,0.05%/0.1%/2%,
Retinoic Acid 0.05%/Hyaluronic Acid 0.2%/Ascorbic Acid 2%,0.05%/0.2%/2%,
Retinoic Acid 0.05%/Hyaluronic Acid 0.1%,0.05%/0.1%,
Retinoic Acid 0.05%/Hyaluronic Acid 0.2%,0.05%/0.2%,
Retinoic Acid 0.1%/Clindamycin 2%,0.1%/2%,
Retinoic Acid 0.1%/Hyaluronic Acid 0.5%,0.1%/0.5%,
Tretinoin,0.015%,
Tretinoin,0.02%,
