Medication,Strength,Total
AOD-9604,300mcg,300mcg
BIEST (50:50) - CREME DE MENTHE,0.1mg,
ESTRADIOL SL - CREME DE MENTHE,4.5mg,
Oxandrolone,25mg,25mg
Oxandrolone,50mg,50mg
Oxandrolone SL - Flavorless Troche,25mg,25mg
Oxandrolone SL - Flavorless Troche,50mg,50mg
Stanazolol SL - BERRY EXP,5mg,
Tamoxifen,20mg,
Testosterone SR Troche,10mg,
Testosterone SR Troche,25mg,
Testosterone SR Troche,50mg,
Testosterone SR Troche,75mg,
Testosterone SR Troche,100mg,
Testosterone SR Troche,200mg,
Sildenafil Citrate SL,125mg,125mg
Sildenafil/Tadalafil SL,120mg/22mg,120mg/22mg
Tadalafil/Apomorphine,40mg/4mg,
Tadalafil/Apomorphine,40mg/6mg,
Tadalafil SL - Berry Explosion,20mg,20mg
